Designator,Mid X,Mid Y,Layer,Rotation
C1,70.38,27.94,Top,0.0
C2,80.42,33.53,Top,0.0
C3,87.93,26.15,Top,90.0
C4,67.31,10.16,Top,180.0
C5,67.31, 6.35,Top,180.0
C6,57.15,24.54,Top,270.0
C7,57.15,19.94,Top,90.0
C8,82.73,16.61,Top,180.0
C9,84.20, 7.80,Top,90.0
D1,79.45,38.35,Top,90.0
LED,54.61,15.24,Top,90.0
PWR,54.61,10.16,Top,90.0
R1,59.69,70.36,Top,90.0
R2,59.69,10.16,Top,0.0
R3,59.69,15.24,Top,0.0
R4,86.89, 7.80,Top,270.0
R5,72.34, 7.32,Top,270.0
R6,76.23, 7.32,Top,270.0
R7,61.42,35.66,Top,270.0
R10,112.52,42.93,Top,0.0
R11,112.52,-5.08,Top,0.0
R12,27.18,42.93,Top,180.0
R13,27.18,-5.08,Top,180.0
RESET,57.12,33.45,Top,270.0
U1,69.85,19.05,Top,0.0
U2,81.79,26.11,Top,180.0
U4,85.52,12.34,Top,0.0
X1,60.71,22.28,Top,90.0
